Nome da Base de Dados;Base específica;Disciplina;Curso;Campus;Ano
Atendimento à comunidade surda em sala;Disciplinas da graduação ;Introdução à Educação de Surdos;Letras Libras;Campus Benfica;2025.1
Atendimento à comunidade surda em sala;Disciplinas da graduação ;Psicologia e Educação de Surdos;Letras Libras;Campus Benfica;2025.1
Atendimento à comunidade surda em sala;Disciplinas da graduação ;Psicologia e Educação de Surdos (optativa);Letras Libras;Campus Benfica;2025.1
Atendimento à comunidade surda em sala;Disciplinas da graduação ;Política e Gestão da Educação;Letras Libras;Campus Benfica;2025.1
Atendimento à comunidade surda em sala;Disciplinas da graduação ;Teoria da Literatura;Letras Libras;Campus Benfica;2025.1
Atendimento à comunidade surda em sala;Disciplinas da graduação ;Aquisição da Linguagem;Letras Libras;Campus Benfica;2025.1
Atendimento à comunidade surda em sala;Disciplinas da graduação ;Metodologia Científica;Letras Libras;Campus Benfica;2025.1
Atendimento à comunidade surda em sala;Disciplinas da graduação ;Produção de textos acadêmicos;Letras Libras;Campus Benfica;2025.1
Atendimento à comunidade surda em sala;Disciplinas da graduação ;Teorias Linguísticas;Letras Libras;Campus Benfica;2025.1
Atendimento à comunidade surda em sala;Disciplinas da graduação ;Estudos Surdos;Letras Libras;Campus Benfica;2025.1
Atendimento à comunidade surda em sala;Disciplinas da graduação ;Economia Pesqueira;Engenharia de Pesca;Campus do Pici;2025.1
Atendimento à comunidade surda em sala;Disciplinas da graduação ;Apicultura I;Engenharia de Pesca;Campus do Pici;2025.1
Atendimento à comunidade surda em sala;Disciplinas da graduação ;Estágio;Engenharia de Pesca;Campus do Pici;2025.1
Atendimento à comunidade surda em sala;Disciplinas da graduação ;Monitoria;Engenharia de Pesca;Campus do Pici;2025.1
Atendimento à comunidade surda em sala;Disciplinas da graduação ;Química Geral;Biotecnologia;Campus do Pici;2025.1
Atendimento à comunidade surda em sala;Disciplinas da graduação ;Bioestatística;Biotecnologia;Campus do Pici;2025.1
Atendimento à comunidade surda em sala;Disciplinas da graduação ;Elementos de física I;Biotecnologia;Campus do Pici;2025.1
Atendimento à comunidade surda em sala;Disciplinas da graduação ;Zoologia básica;Biotecnologia;Campus do Pici;2025.1
Atendimento à comunidade surda em sala;Disciplinas da graduação ;Anatomia dos espermatofitas;Biotecnologia;Campus do Pici;2025.1
Atendimento à comunidade surda em sala;Disciplinas da graduação ;Microbiologia básica;Biotecnologia;Campus do Pici;2025.1
Atendimento à comunidade surda em sala;Disciplinas da graduação ;Planejamento e orçamento;Ciências Contábeis;Campus Benfica;2025.1
Atendimento à comunidade surda em sala;Disciplinas da graduação ;Perícia contábil;Ciências Contábeis;Campus Benfica;2025.1
Atendimento à comunidade surda em sala;Disciplinas da graduação ;Monografia em ciências contábeis;Ciências Contábeis;Campus Benfica;2025.1
Atendimento à comunidade surda em sala;Disciplinas da graduação ;Estágio supervisionado;Ciências Contábeis;Campus Benfica;2025.1
Atendimento à comunidade surda em sala;Disciplinas da graduação ;Marketing e serviço e relacionamento;Ciências Contábeis;Campus Benfica;2025.1
Atendimento à comunidade surda em sala;Disciplinas da graduação ;Introdução à atuação;Teatro;Campus do Pici;2025.1
